func_args;signature;origin
TokenAllocated(address,uint256);\x355d073376c545ace08b6df926659a4228940d3214a213a7f300f2ad3ca10ce2;10
Finalized();\x6823b073d48d6e3a7d385eeb601452d680e74bb46afe3255a7d778f3a9b17681;10
Whitelisted(address,uint256,bool,uint256,uint256);\x77c09a19fcd5375bb199fef6f7ff5c86bb393ad9b0574d097475dbec3263d43d;10
referralPaid(address,address,uint256,uint256);\x500a1821a82e1e9951feb0c4eb0043d6f9d97be1a522ffa083f6a91b7b5c013d;10
issueCoinTokens(address,address,uint256,uint256);\x4b4baca05c77f3008ba9b998920e58005aeb17a94101186b0a80f564075c043e;10
landPurchased(uint256,address,uint256,address,bytes32,int256,int256,uint256,uint256,uint256,uint256);\x807689f8da61b73f683c57d12d78610d2e69edfaa2feac878373d92ba25e2730;10
taxDistributed(uint256,uint256,uint256);\x5fe10e72bed621bd9aa98489cd68e8ee3f0446c3472cea71de9c6c105c089f8f;10
cardBought(uint256,address,address,uint256,address,address,bytes32,uint256,uint256,uint256,uint256,uint256);\xca6cef801d696b99880261abca3984a0cf932a69993676ef85130e9ce94e94da;10
ApprovalForAll(address,address,bool);\x17307eab39ab6107e8899845ad3d59bd9653f200f220920489ca2b5937696c31;10
AirDropCoin(address,uint256,uint256,uint256);\xe4f7b152a9d60c289db64ea275c82b9f9d23853ebd7e5df382fb85d476979e0b;10
AirDropToken(address,address,uint256,uint256,uint256);\x8d89b1a5d16ff430c9b249f52a19cf23376c2dae1971e5b9e5e20503e483379a;10
Payout(address,uint256);\x5afeca38b2064c23a692c4cf353015d80ab3ecc417b4f893f372690c11fbd9a6;10
AcountTopup(address,uint256);\xabcc1dbf61afa26d6213b4d94418583f36fedeb579db6e003f94e32aa7927cb8;10
PresaleStarted(uint256);\x350219912288aa2ab1c63b5922619564a732d06ab5d23696cafa1afe515304a0;10
PresaleUnlimitedStarted(uint256);\xb7375af7a044d5065808a05cbebd17a66f5bdf2d4f7ca631a5bd4be6c7f1bb32;10
CrowdsaleEnded(uint256);\x9145a7fd7de2aa5b50a289cf5dd2e2d100aa067911e49855b88f94b5a196f04b;10
ErrorSendingETH(address,uint256);\xdb623bd5ad9b688a8d252706b5f3b2849545e7c47f1a9be77f95b198445a67d3;10
MinCapReached(uint256);\x71bd1f47064193be653e360173639170d33d2cfe47bf52a3de621ca4040e2358;10
MaxCapReached(uint256);\x38caa2c61728c18eb71cbd06d1915e4164ffe51c69a09b68d78be1f125a5dea7;10
ContributionMade(address,uint256);\x6770260ea820d2f539364e7617e021543aaf6d192f2fd2a47c20db6bd99a4eb9;10
OwnerUpdate(address,address);\x343765429aea5a34b3ff6a3785a98a5abb2597aca87bfbb58632c173d585373a;10
BetMade();\x1305413e1f16048556d0b1a12ca82eb1fa526325349086b3777182444968da85;10
onNewName(uint256,address,bytes32,bool,uint256,address,bytes32,uint256,uint256);\xdd6176433ff5026bbce96b068584b7bbe3514227e72df9c630b749ae87e64442;10
onEndTx(uint256,uint256,bytes32,address,uint256,uint256,address,bytes32,uint256,uint256,uint256,uint256,uint256,uint256);\x500e72a0e114930aebdbcb371ccdbf43922c49f979794b5de4257ff7e310c746;10
onWithdraw(uint256,address,bytes32,uint256,uint256);\x8f36579a548bc439baa172a6521207464154da77f411e2da3db2f53affe6cc3a;10
onWithdrawAndDistribute(address,bytes32,uint256,uint256,uint256,address,bytes32,uint256,uint256,uint256,uint256);\x0bd0dba8ab932212fa78150cdb7b0275da72e255875967b5cad11464cf71bedc;10
onBuyAndDistribute(address,bytes32,uint256,uint256,uint256,address,bytes32,uint256,uint256,uint256,uint256);\xa7801a70b37e729a11492aad44fd3dba89b4149f0609dc0f6837bf9e57e2671a;10
onReLoadAndDistribute(address,bytes32,uint256,uint256,address,bytes32,uint256,uint256,uint256,uint256);\x88261ac70d02d5ea73e54fa6da17043c974de1021109573ec1f6f57111c823dd;10
onAffiliatePayout(uint256,address,bytes32,uint256,uint256,uint256,uint256);\x590bbc0fc16915a85269a48f74783c39842b7ae9eceb7c295c95dbe8b3ec7331;10
onPotSwapDeposit(uint256,uint256);\x74b1d2f771e0eff1b2c36c38499febdbea80fe4013bdace4fc4b653322c2895c;10
TokenRegistered(address,string);\xaaed15520cc86e95b7c2522d968096283afbef7858bdf194b2f60d28a1a8d63e;10
TokenUnregistered(address,string);\xee98311a96660ce4ab10cd82053f767653901305ec8acf91ec60311de919e28a;10
NewOraclizeQuery(string);\x096835e36c2ccea88ff2b3aca87dfc938b977e52ea656873ff76a8dba50d4d34;10
AccessGranted(address,uint256);\xb4c6779ceb4a20f448e76a0e11f39bd183cff9c9dbac53df6bfcc202e2eb32f1;10
onEndTx(uint256,uint256,bytes32,address,uint256,uint256,address,bytes32,uint256,uint256,uint256,uint256);\x9a7c9c87d6b6f6612f5105b409490de2755b5b67db0172ab189b7431e57c7c84;10
onWithdrawAndDistribute(address,bytes32,uint256,uint256,uint256,address,bytes32,uint256,uint256,uint256);\x9e9c9331834267c84342f2dce38f9ba35eb0bfbcc207c64872e1e74f9706f2a3;10
onBuyAndDistribute(address,bytes32,uint256,uint256,uint256,address,bytes32,uint256,uint256,uint256);\x5905265be09e3f6f7813c1dce4febfad76d4b3a46288aa344d2531532c3519c9;10
onReLoadAndDistribute(address,bytes32,uint256,uint256,address,bytes32,uint256,uint256,uint256);\x603a740c9291cc914e0c8d16b355cdb091aefd5d9bbdf4f95371ce756f5e8a40;10
RefundLoaded(uint256);\xff13c6c63336413f032ad2ec351d9e01203de54fc79ce8899050e0bc2ec7134b;10
LogLotteryResult(uint32,uint8,bytes32,bytes);\xae501c7524bb994b44ebe6d9a55b774e1ba55eaeacb2d5549d27711bd244283e;10
DailyLimitChange(uint256);\xc71bdc6afaf9b1aa90a7078191d4fc1adf3bf680fca3183697df6b0dc226bca2;10
SellingImage(uint256,uint256);\xb726e9059ed8ff3728ea7dd496806c37a003c2f7aa6b5cf6e2c6794f6b81e52d;10
ImageBought(uint256,address,uint256);\x5e03a2b91f117f2c4bb81f2fccecdc288f97b2ea61f6d96d0431fa5cee8f6e15;10
NewSmartToken(address);\xf4cd1f8571e8d9c97ffcb81558807ab73f9803d54de5da6a0420593c82a4a9f0;10
Issuance(uint256);\x9386c90217c323f58030f9dadcbc938f807a940f4ff41cd4cead9562f5da7dc3;10
Destruction(uint256);\x9a1b418bc061a5d80270261562e6986a35d995f8051145f277be16103abd3453;10
LogSetQuestionFee(address,uint256);\xdca703d022171824d3d639b33c1525fd2338120b4cfb89507c0b59596893acda;10
LogNewTemplate(uint256,address,string);\xb87fb721c0a557bb8dff89a86796466931d82ba530a66a239263eb8735ade2e4;10
LogNewQuestion(bytes32,address,uint256,string,bytes32,address,uint32,uint32,uint256,uint256);\xfe2dac156a3890636ce13f65f4fdf41dcaee11526e4a5374531572d92194796c;10
LogFundAnswerBounty(bytes32,uint256,uint256,address);\x54d68405b79f2aa4fd4e8db7b67844ad254cf8f208aac476c2894134a9deab66;10
LogNewAnswer(bytes32,bytes32,bytes32,address,uint256,uint256,bool);\xe47ca4ebbbc2990134d1168821f38c5e177f3d5ee564bffeadeaa351905e6221;10
LogAnswerReveal(bytes32,address,bytes32,bytes32,uint256,uint256);\xa7b2d313bc7a062e30b2c3b811aa4c9faf09755a6b4ea3bf42deff920944332f;10
LogNotifyOfArbitrationRequest(bytes32,address);\x75d7939999bc902187c4aed400872883e445145f1983539166f783fa040b4762;10
LogFinalize(bytes32,bytes32);\x18d760beffe3717270cd90d9d920ec1a48c194e9ad7bba23eb1c92d3eb974f97;10
